#id	Family_cod	Family	family_description	family_type	specie
RF00542	snopsi28S-1192	Small nucleolar RNA psi28S-1192	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	psi28S-1192 is a member of the H/ACA class of snoRNA. This family is responsible for guiding the modification of uridine 1192 to pseudouridine in Drosophila 28S rRNA [1].
RF00543	snopsi18S-1377	Small nucleolar RNA psi18S-1377	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	psi18S-1377 is a member of the H/ACA class of snoRNA. This family is responsible for guiding the modification of uridines 1377 and 1279 to pseudouridine in Drosophila 18S rRNA [1].
RF00544	snopsi28S-3327	Small nucleolar RNA psi28S-3327	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	psi28S-3327 is a member of the H/ACA class of snoRNA. This family is responsible for guiding the modification of uridine 3327 in Drosophila 28S and U1920 in Drosophila 18S rRNA to pseudouridine [1].
RF00545	snopsi18S-841	Small nucleolar RNA psi18S-841/snoR66	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	psi18S-841 is a member of the H/ACA class of snoRNA. This family is responsible for guiding the modification of uridine 841 in Drosophila 18S rRNA to pseudouridine [1].
RF00546	snopsi28S-3316	Small nucleolar RNA psi28S-3316	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	psi28S-3316 is a member of the H/ACA class of snoRNA. This family is responsible for guiding the modification of uridine 3316 in Drosophila 28S rRNA to pseudouridine [1].
RF00547	IRES_TrkB	TrkB IRES	Cis-reg; IRES;	Eukaryota; 	This family represents the TrkB internal ribosome entry site (IRES) which is present in the 5' leader sequence of the mRNA. TrkB is a neurotrophin receptor which is essential for the development and maintenance of the nervous system. The IRES element allows cap-independent translation of TrkB which may be needed for efficient translation in neuronal dendrites [1].
RF00548	U11	U11 spliceosomal RNA	Gene; snRNA; splicing;	Eukaryota; 	The U11 small nuclear (snRNA), together with U4atac/U6atac, U5, and U12 snRNAs and associated proteins, forms a spliceosome that cleaves a divergent class of low-abundance pre-mRNA introns.
RF00549	IRES_c-sis	c-sis internal ribosome entry site (IRES)	Cis-reg; IRES;	Eukaryota; 	This family represents the c-sis 5'-UTR which contains three modules that can individually mediate internal ribosome entry. However, the full length sequence is required for maximal IRES activity. It is thought that the three IRES elements are somehow responsive to cellular changes and act to regulate the level of translation [1].
RF00550	HepE_CRE	Hepatitis E virus cis-reactive element	Cis-reg;	Viruses; 	This family represents a cis-reactive element from Hepatitis E virus which is thought to be essential for "some step in gene expression" [1].
RF00551	bicoid_3	Bicoid 3'-UTR regulatory element	Cis-reg;	Eukaryota; 	This family represents the core structure of the bicoid 3'-UTR and consists of domains II, III, IV and V which are known to be essential for correct transport and localisation of bicoid mRNA during oocyte and embryo differentiation [1].
RF00552	rncO	rncO	Cis-reg;	Eukaryota; Bacteria; 	This family represents a bacterial regulatory element (rncO) found in the rnc leader sequence. The rnc operon is negatively auto-regulated by transcript stability. rnc, the first gene in the operon codes for RNase III which cleaves the long rncO stem II leading to transcript degradation and a reduction in translation [1].
RF00553	SCARNA1	Small Cajal body specific RNA 1	Gene; snRNA; snoRNA; scaRNA;	Eukaryota; 	scaRNAs are a specific class of small nuclear RNAs which localise to the Cajal bodies and guide the modification of RNA polymerase II transcribed spliceosomal RNAs U1, U2, U4, U5 and U12 [1]. ACA35 belong to the H/ACA box class of guide RNAs as it has the predicted hairpin-hinge-hairpin-tail structure, conserved H/ACA-box motifs and is found associated with GAR1 [2]. It is predicted to guide pseudouridylation of the U2 spliceosomal snRNA at residue U89 [2].
RF00554	SNORA48	Small nucleolar RNA SNORA48	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	The snoRNA ACA 48 has been identified to guide pseudouridylation of the residue U3797 in the 28S rRNA subunit. Its host gene EIF4A1 (eukaryotic translation initiation factor 4A1) is shared with U67 and snoRNA mgU6-77
RF00555	L13_leader	Ribosomal protein L13 leader	Cis-reg; leader;	Eukaryota; Bacteria; 	This family is a putative r-protein leader autoregulatory structure [1] found in B. subtilis and other low-GC Gram-positive bacteria. It is located in the 5' untranslated regions of mRNAs encoding the L13-S9 (rplM-rpsI) ribosomal protein operon.
RF00556	L19_leader	Ribosomal protein L19 leader	Cis-reg; leader;	Bacteria; 	This family is a putative r-protein leader autoregulatory structure [1] found in B. subtilis and other low-GC Gram-positive bacteria. It is located in the 5' untranslated regions of mRNAs encoding ribosomal protein L19 (rplS).
RF00557	L10_leader	Ribosomal protein L10 leader	Cis-reg; leader;	Eukaryota; Bacteria; 	This family is a putative r-protein leader autoregulatory structure [1] found in B. subtilis and other low-GC Gram-positive bacteria. It is located in the 5' untranslated regions of mRNAs encoding ribosomal proteins L10 and L12 (rplJ-rplL). A Rho-independent transcription terminator structure that is probably involved in regulation is included at the 3' end.
RF00558	L20_leader	Ribosomal protein L20 leader	Cis-reg; leader;	Eukaryota; Bacteria; 	This family is a putative r-protein leader autoregulatory structure [1] found in B. subtilis and other low-GC Gram-positive bacteria. It is located in the 5' untranslated regions of mRNAs encoding initiation factor 3 followed by ribosomal proteins L35 and L20 (infC-rpmI-rplT). A Rho-independent transcription terminator structure that is probably involved in regulation is included at the 3' end.
RF00559	L21_leader	Ribosomal protein L21 leader	Cis-reg; leader;	Eukaryota; Bacteria; 	This family is a putative r-protein leader autoregulatory structure [1] found in B. subtilis and other low-GC Gram-positive bacteria. It is located in the 5' untranslated regions of mRNAs encoding ribosomal protein L21, a protein of unknown function, and ribosomal protein L27 (rplU-ysxB-rpmA).
RF00560	SNORA17	Small nucleolar RNA SNORA17	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	snoRNA ACA 17 belongs to the H/ACA family of snoRNAs and is predicted to guide pseudouridylation of the 28S rRNA at positions U4659 and U4598. It shares the same host gene together with ACA43. NB This family has a high threshold value to exclude a large number of closely related sequences that do not appear to have conserved H and ACA boxes, and may be pseudogenes.
RF00561	SNORA40	Small nucleolar RNA SNORA40	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	The snoRNA ACA 40 belongs to the H/ACA family of snoRNAs and guides the pseudouridylation of 28S rRNA subunit at position U4565. NB This family has a high threshold value to exclude a large number of closely related sequences that do not appear to have conserved H and ACA boxes, and may be pseudogenes.
RF00562	SNORA49	Small nucleolar RNA SNORA49	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	The snoRNA ACA49 has no identified RNA target. NB genomic sequence 1-nt different from published.
RF00563	SNORA53	Small nucleolar RNA SNORA53	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	The snoRNA ACA53 belongs to the H/ACA family of pseudouridylation guide snoRNAs. RNA residues targeted for pseudouridylation by this molecule have not been identified. n.b: The GenBank accession number for 'Homo sapiens snoRNA ACA53 gene' (AJ609478) corresponds to a portion of snoRNA ACA24.
RF00564	SCARNA11	Small Cajal body specific RNA 11	Gene; snRNA; snoRNA; scaRNA;	Eukaryota; 	scaRNAs are a specific class of small nuclear RNAs which localise to the Cajal bodies and guide the modification of RNA polymerase II transcribed spliceosomal RNAs U1, U2, U4, U5 and U12 [1]. ACA57 belongs to the H/ACA box class of guide RNAs as it has the predicted hairpin-hinge-hairpin-tail structure, conserved H/ACA-box motifs and is found associated with GAR1 [1]. ACA57 is predicted to guide the pseudouridylation of the U5 spliceosomal RNA at position U43 [2].
RF00565	SCARNA3	Small Cajal body specific RNA 3	Gene; snRNA; snoRNA; scaRNA;	Eukaryota; 	scaRNAs are a specific class of small nuclear RNAs which localise to the Cajal bodies and guide the modification of RNA polymerase II transcribed spliceosomal RNAs U1, U2, U4, U5 and U12 [1]. This family includes the mouse H/ACA-box snoRNAs MBI-100 and MBI-114 identified in [2]. Both MBI-100 and MBI-114 are predicted to guide the pseudouridylation of position U40 in the U6 snRNA [2].
RF00566	SNORA35	Small nucleolar RNA SNORA35	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	The snoRNA HBI-36 snoRNA belongs to the H/ACA family of snoRNAs and is specifically expressed in the brain, specifically in the choroids plexus. No RNA target has been identified.
RF00567	SNORD17	Small nucleolar RNA SNORD17	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The snoRNA HBI-43 belongs to the C/D family of snoRNAs, guiding 2'O-ribose methylation at position U3797 of the 28S rRNA. Pseudouridylation in position U3797 is predicted to be guided by the H/ACA snoRNA ACA48.
RF00568	SNORA26	Small nucleolar RNA SNORA26	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	The snoRNA HBI-6 belong to the H/ACA family of snoRNAs, guiding the pseudouridylation of position U4522 if the 28S rRNA. HBI-6 is the human orthologue of mouse MBI-6 snoRNA.
RF00569	SNORD19	Small nucleolar RNA SNORD19	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	Homo sapiens C/D box snoRNA HBII-108: This snoRNA is the human orthologue of the mouse MBII-108 and is predicted to guide 2'O-ribose methylation of the small 18S rRNA on position G683. snoRNA HBII-108 is encoded in a nucleostemin (NS) gene intron like the HBII-210
RF00570	SNORD64	Small Nucleolar RNA SNORD64	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The human snoRNA HBII-13 belongs to the C/D family of snoRNAs. It is expressed mainly in the brain, but is also in the lungs, the kidneys and muscle. HBII-13 snoRNA has no identified RNA target and is encoded together with HBII-436, HBII-437, HBII-438A/B and the clusters of HBII-85, HBII-52 snoRNA in a 460 kb intron of the large, paternally expressed, transcription unit (SNURF-SNRNP-UBE3A AS). This is antisense to maternally expressed UBE3A gene (Runt et al., 2001).
RF00571	SNORD65	Small nucleolar RNA SNORD65	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA HBII-135 belongs to the CD family of snoRNAs. It is the human orthologue of the mouse MBII-135 snoRNA and is predicted to guide 2'O-ribose methylation of the small 18S rRNA at residue U627.
RF00572	SNORD66	Small nucleolar RNA SNORD66	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA HBII-142 is part of the C/D family of snoRNAs. It is the human orthologue of the mouse MBII-142 snoRNA and is predicted to guide 2'O-ribose methylation of small 18S rRNA at residue C1272.
RF00573	SNORD67	Small nucleolar RNA SNORD67	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA HBII-166 belongs to the C/D family of snoRNAs. It is the human orthologue of the mouse MBII-166 and is predicted to guide 2'O-ribose methylation of snRNA U6 at residue C60.
RF00574	SNORD69	Small nucleolar RNA SNORD69	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA HBII-210 belongs to the C/D family of snoRNAs. It is the human orthologue of the mouse MBII-210 and is predicted to guide the 2'O-ribose methylation of large 28S rRNA on residue G4464.
RF00575	SNORD70	Small nucleolar RNA SNORD70	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA HBII-234 belongs to the C/D family of snoRNAs. It is the human orthologue of the mouse MBII-234 and is predicted to guide 2'O-ribose methylation of the small 18S rRNA on position A512. It is hosted, together with HBII-95, by the core C/D box snoRNA protein encoding gene NOP5/NOP58.
RF00576	SNORD71	Small nucleolar RNA SNORD71	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	snoRNA HBII-239 belongs to the family of C/D snoRNAs.It is the human orthologue of the mouse MBII-239 described and is predicted to guide 2'O-ribose methylation of 5.8S rRNA on residue U14.
RF00577	SNORD72	Small nucleolar RNA SNORD72	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA HBII-240 belongs to the CD family of snoRNAs. It is the human orthologue of the mouse MBII-240 and is predicted to guide 2'O-ribose methylation of the large 28S rRNA at residue U4590.
RF00578	SNORD89	Small nucleolar RNA SNORD89	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA HBII-289 belongs to the family of C/D snoRNAs. It is the human orthologue of the mouse MBII-289 and has no identified RNA target.
RF00579	SNORD90	Small nucleolar RNA SNORD90	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA HBII-295 belongs to the family of C/D snoRNAs. It is the human orthologue of the mouse MBII-295 and has no identified RNA target.
RF00580	SNORD91	Small nucleolar RNA SNORD91 family	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. This family includes HBII-296A (SNORD91A) and HBII-296B (SNORD91B). They are close paralogues and share the same host gene (FLJ10534). Both snoRNAs and are predicted to guide 2'O-ribose methylation of the large 28S rRNA at position G4588 [3].
RF00581	SNORD12	Small nucleolar SNORD12/SNORD106	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	This family belong to the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family includes the human ortholog of mouse snoRNA HBII-99 and human snoRNA U106. In humans both HB11-99 and U106 snoRNAs share the same host gene [1]. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. HBII-99 is predicted to guide the 2'O-ribose methylation of 28S rRNA G3878 [2]. U106 contains conserved antisense elements which would predict U106 methylates residues G1536 and U1602 of 18S rRNA. However, these targets do not appear to be methylated and U106 might function as an RNA chaperone during rRNA folding [1]. A similar role has been suggested for the H/ACA snoRNAs U17a and U17b Rfam:RF00045 [1].
RF00582	SCARNA14	Small Cajal body specific RNA 14	Gene; snRNA; snoRNA; scaRNA;	Eukaryota; 	scaRNAs are a specific class of small nuclear RNAs which localise to the Cajal bodies and guide the modification of RNA polymerase II transcribed spliceosomal RNAs U1, U2, U4, U5 and U12 [1]. U100 belongs to the H/ACA box class of guide RNAs as it has the predicted hairpin-hinge-hairpin-tail structure and the conserved H/ACA-box motifs [2]. U100 is the human orthologue of mouse H/ACA snoRNA MBII-201 identified in [3] and also included in this family. U100 is predicted to guide the pseudouridylation of U2 snRNA at residue U7 [4].
RF00584	SNORD105	Small nucleolar RNA SNORD105	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U105 belongs to the C/D family of snoRNAs. It is encoded in an intron of the Suppressor of SWI4 1 homolog (Ssf-1) (Peter Pan homolog) gene. and is predicted to guide 2'O-ribose methylation of residue U799 of the small 18S rRNA subunit.
RF00586	SNORA12	Small nucleolar RNA SNORA12	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	U108 belongs to the H/ACA family of snoRNAs. The sequence is predicted to guide the pseudouridylation of the U372 residue in the 28S rRNA subunit. However it has not been reported as a pseudouridylation site.
RF00588	SNORD41	Small nucleolar RNA SNORD41	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	snoRNA U41 belongs to the C/D family of snoRNAs. It is predicted to guide 2'O-ribose methylation of the large 28S rRNA on residue U4276.
RF00591	SNORD77	Small nucleolar RNA SNORD77	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U77 belongs to the C/D family of snoRNAs. It is predicted to guide 2'O-ribose methylation of large 28S rRNA subunit at position A1521. The C/D snoRNAs U44, U47, U74, U75, U76, U78, U79, U80 and U81 share the same host gene as U77 (non-coding).
RF00592	SNORD78	Small nucleolar RNA SNORD78	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U78 belongs to the CD family of snoRNAs. It is predicted to guide 2'O-ribose methylation of the large 28S rRNA subunit at position G4593. The snoRNAs U44, U47, U74, U75, U76, U77, U79, U80 and U81, also of the C/D family, share the same host gene with U78 (protein non-coding).
RF00593	snoU83B	Small nucleolar RNA U83B	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U83B belongs to the C/D family of snoRNAs. U83B like U83A has no documented RNA target and they share the same host gene with the C/D box snoRNA U43 (RPL3). N.B. U83A/B/C have no sequence similarity with the U83 snoRNA that was cloned by Jady and Kiss (2000).
RF00594	SNORD86	Small nucleolar RNA SNORD86	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U86 belongs to the C/D family of snoRNAs. It is the human orthologue of Xenopus laevis U86 and has no identified RNA target. The snoRNAs U86, U56, U57 and HBII-55,of the C/D family, and the H/ACA box snoRNA ACA51 share the same host gene (NOL5A) with U86.
RF00598	SNORA76	Small nucleolar RNA SNORA76	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	ACA62 (SNORA76) is a member of the H/ACA class of snoRNAs that guide the sites of modification of uridines to pseudouridines [1]. This snoRNA was identified by computational screening and its expression in mouse experimentally verified by Northern blot and primer extension analysis [2]. ACA62 is proposed to guide the pseudouridylation of 18S rRNA U34 and U105 [2].
RF00599	SNORA77	Small nucleolar RNA SNORA77	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	ACA63 (SNORA77) is a member of the H/ACA class of snoRNAs that guide the sites of modification of uridines to pseudouridines [1]. This snoRNA was identified by computational screening and its expression in mouse experimentally verified by Northern blot and primer extension analysis [2]. ACA63 is proposed to guide the pseudouridylation of 18S rRNA U814 [2].
RF00600	SNORA79	Small nucleolar RNA SNORA79	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	ACA65 (SNORA79) is a member of the H/ACA class of snoRNAs that guide the sites of modification of uridines to pseudouridines [1]. This snoRNA was identified by computational screening and its expression in mouse experimentally verified by Northern blot and primer extension analysis [2]. ACA65 is proposed to guide the pseudouridylation of residue U31 in U6 snRNA (Rfam:RF00026)[2].
RF00601	SCARNA20	Small Cajal body specific RNA 20	Gene; snRNA; snoRNA; scaRNA;	Eukaryota; 	scaRNAs are a specific class of small nuclear RNAs which localise to the Cajal bodies and guide the modification of RNA polymerase II transcribed spliceosomal RNAs U1, U2, U4, U5 and U12 [1]. ACA66 (SCARNA20) is a member of the H/ACA class of snoRNAs that guide the sites of modification of uridines to pseudouridines. This snoRNA was identified by computational screening and its expression in mouse experimentally verified by Northern blot and primer extension analysis [2]. It is predicted to guide the pseudouridylation of residue U28 in U12 snRNA (Rfam:RF00007) [2].
RF00602	SCARNA21	Small Cajal body specific RNA 21	Gene; snRNA; snoRNA; scaRNA;	Eukaryota; 	scaRNAs are a specific class of small nuclear RNAs which localise to the Cajal bodies and guide the modification of RNA polymerase II transcribed spliceosomal RNAs U1, U2, U4, U5 and U12 [1]. ACA68 (SCARNA21) is a member of the H/ACA class of snoRNAs that guide the sites of modification of uridines to pseudouridines. This snoRNA was identified by computational screening and its expression in mouse experimentally verified by Northern blot and primer extension analysis [2]. ACA68 is proposed to guide the pseudouridylation of residue U19 in U12 snRNA (Rfam:RF00007)[2].
RF00603	SNORD23	Small nucleolar RNA SNORD23	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. This family includes mouse MBII-115 identified in [2] and the human orthologue HBII-115 (SNORD23). There is currently no predicted target RNA for HBII-115 [3].
RF00604	SNORD88	Small nucleolar RNA SNORD88	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. This family includes mouse MBII-211 and MBII-180 identified in [2] and the human orthologue HBII-180 (SNORD88). HBII-180 is predicted to guide the 2'O-ribose methylation of 28S rRNA C3680 [3].
RF00606	SNORD93	Small nucleolar RNA SNORD93	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. This family includes mouse MBII-336 identified in [2]. The human orthologue HBII-336 (SNORD93) is predicted to guide the 2'O-ribose methylation of 18S rRNA A576 [3].
RF00607	SNORD98	Small nucleolar RNA SNORD98	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. HBII-419 (SNORD98) is predicted to guide the 2'0-ribose methylation of 18S rRNA G867 [3].
RF00608	SNORD99	Small nucleolar RNA SNORD99	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. HBII-420 (SNORD99) is predicted to guide the 2'O-ribose methylation of 28S rRNA A2774 [3].
RF00609	SNORD100	Small nucleolar RNA SNORD100	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. HBII-429 (SNORD100) is predicted to guide the 2'O-ribose methylation of 18S rRNA G436 [3].
RF00610	SNORD110	Small nucleolar RNA SNORD110	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. HBII-55 (SNORD110) is predicted to guide the 2'O-ribose methylation of 18S rRNA U1288 [3].
RF00611	SNORD111	Small nucleolar RNA SNORD111	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. HBII-82 (SNORD111) is predicted to guide the 2'O-ribose methylation of 28S rRNA G3923 [3].
RF00612	SNORD75	Small nucleolar RNA SNORD75	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	U75 (SNORD75) belongs to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. This family includes the mouse orthologue Z19. U75 is predicted to guide the 2'O-ribose methylation of 28S rRNA residue C4032 [3]. In humans U75 shares the same non-protein coding host gene (gas5) with 9 other snoRNAs (U44, U47, U74, U76, U77, U78, U79, U80 and U81)[2].
RF00613	SNORD94	Small nucleolar RNA SNORD94	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs [1]. U94 (SNORD94) is predicted to guide the 2'O-ribose methylation of C62 of the snRNA U6 (Rfam:RF00026)[2].
RF00614	SNORA11	Small nucleolar RNA SNORA11	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	U107 (SNORA11) is a member of the H/ACA class of snoRNAs that guide the sites of modification of uridines to pseudouridines [1]. This snoRNA was identified by RT-PCR from blood cells and its expression confirmed by Northern blot analysis [2]. There is no predicted target for this guide snRNA [2].
RF00615	LhrA	Listeria Hfq binding LhrA	Gene; sRNA;	Bacteria; 	This RNA was identifed by screening for RNA molecules which co-immunoprecipitated with the RNA chaperone Hfq [1]. It appears to be transcribed from a region overlapping with predicted protein of unknown function (Lmo2257) and is located between a putative intracellular protease/amidase and a putative protein of the ribulose-phosphate 3 epimerase family. Its is highly expressed in stationary growth phase but its function is unkown. It is proposed to be a regulatory RNA which controls gene expression at the post transcriptional level by binding its target mRNA in an Hfq dependent fashion [1]. This RNA molecule appears to be conserved amongst Listeria species but has not been identified in other bacterial species.
RF00616	LhrC	Listeria Hfq binding LhrC	Gene; sRNA;	Bacteria; 	This RNA was identifed by screening for RNA molecules which co-immunoprecipitated with the RNA chaperone Hfq [1]. LhrC is transcribed from the intergenic region between the protein coding genes cysK, a putative cysteine synthase and sul, a putative dihydropteroate synthase [1]. In Listeria monocytogenes four additional copies of lhrC have been identifed in the genome, three of which are located in tandem repeat upstream of the originally characterised lhrC [1]. The function of LhrC is not known. This RNA molecule appears to be conserved amongst Listeria species but has not been identified in other bacterial species.
RF00617	cHP	flavivirus capsid hairpin cHP	Cis-reg;	Viruses; 	cHP is a conserved RNA hairpin structure identified within the capsid coding region of several flavivirus genomes. These positive strand RNA genomes are translated as a single polypeptide and subsequently cleaved into constituent proteins, the first of which is the capsid protein. The cHP hairpin is located within the capsid coding region between two AUG start codons. The cHP cis element has been shown to direct translation start from the thermodynamically unstable first start codon [1]. The ability of cHP to direct initiation from the first start codon is proportional to its thermodynamic stability, is position dependent, and is sequence independent [1]. It has been demonstrated that both AUGs and the conserved cHP are necessary for efficient viral replication in human and mosquito cells [1].
RF00618	U4atac	U4atac minor spliceosomal RNA	Gene; snRNA; splicing;	Eukaryota; 	U4atac is an essential component of the minor U12-type spliceosome complex which is required for removal of the rarer class of eukaryotic introns (AT-AC, U12-type) [1]. U4atac snRNA is proposed to form a base-paired complex with another spliceosomal RNA U6atac via two stem loop regions. These interacting stem loops have been shown to be required for in vivo splicing [2]. U4atac also contains an 3' Sm protein binding site which has been shown to be essential for splicing activity [2]. U4atac is the functional analog of U4 (Rfam:RF00015) in the major U2-type spliceosomal complex [2]. The drosophila U4atac snRNA has an additional predicted 3' stem loop terminal to the Sm binding site [3] which is not included in this model.
RF00619	U6atac	U6atac minor spliceosomal RNA	Gene; snRNA; splicing;	Eukaryota; 	U6atac is an essential component of the minor U12-type spliceosome complex which is required for removal of the rarer class of eukaryotic introns (AT-AC, U12-type) [1]. U6atac snRNA is proposed to form a base-paired complex with another spliceosomal RNA U4atac via two stem loop regions. These interacting stem loops have been shown to be required for in vivo splicing [2]. U6atac is the functional analog of U6 (Rfam:RF00026) in the major U2-type spliceosomal complex [2].
RF00620	HCV_ARF_SL	Hepatitis C alternative reading frame stem-loop	Cis-reg;	Viruses; 	The core protein-coding region of the Hepatitis C virus (HCV) genome contains a +1 alternative reading frame (ARF) and two proposed phylogenetically conserved RNA helix-forming stem loop structures [1]. The proteins translated from the ARF appear to be translated during the normal viral life cycle but are not essential to virus replication [1]. The two predicted stem loops included in this model (SLV and SLVI) are proposed to be important for HCV translation and repression [1]. These stem loops are located downstream of the IRES site but their functional role is unknown [1].
RF00621	CoTC_ribozyme	Beta-globin co-transcriptional cleavage ribozyme	Gene; ribozyme;	Eukaryota; 	Transcription termination of RNA polymerase II transcripts is proposed to occur by a two stage process [1]. The first stage involves pre-termination cleavage (PTC) of the nascent transcript downstream of the poly(A) site. This process is also referred to as co-transcriptional cleavage (CoTC). The CoTC process in the human beta-globin gene has been shown to involve an RNA self-cleaving activity located in the 3' flanking region of the beta-globin gene. This Rfam model represents the catalytic core of the beta-globin CoTC ribozyme. The CoTC core is highly conserved in the 3' flanking regions of other primate beta-globin genes [2]. Functionally, this CoTC ribozyme resembles the 3' processive, self-cleaving ribozymes described for the protein-encoding genes from the myxomycetes Didymium iridis and Physarum polycephalum [2].
RF00622	CPEB3_ribozyme	Mammalian CPEB3 ribozyme	Gene; ribozyme;	Eukaryota; 	The mammalian CPEB3 ribozyme is a self cleaving RNA located in the second intron of the CPEB3 gene which belongs to a family of genes regulating messenger RNA polyadenylation [1]. This ribozyme is highly conserved and found only in mammals [1]. The CPEB3 ribozyme is structurally and biochemically related to the human hepatitis delta virus (HDV) ribozyme (Rfam:RF00094) and the HDV ribozyme is proposed to have arisen from the human transcriptome [1]. There is currently only one other known self cleaving ribozyme in mammals, the CoTC motif (Rfam:RF00621)[2].
RF00623	P1	Pseudomonas sRNA P1	Gene;	Bacteria; 	This small RNA (sRNA) was computationally identified in the genome of the opportunistic pathogen Pseudomonas aeruginosa and its expression verified by northern blot analysis [1]. There appears to be two related copies of P1 sRNA in the P.aeruginosa PA01 genome and both copies appear to be located upstream of predicted glutamine synthetase genes. This sRNA appears to be conserved amongst several Pseudomonas species. P1 has a predicted Rho independent terminator at the 3' end but the function of P1 is unknown [1].
